RT,Key Peaks ,Compound,Category,SL_2,SL_5,SL_8,SL_11,SL_14,SL_17,SL_20,SL_23 ,SL_26 ,SL_29,SL_32,SL_35 ,SL_38 ,SL_41,SL_44,SL_47,SL_50 ,SL_53,SL_56,SL_59 ,SL_65,SL_68,SL_71,SL_74,SL_77,SL_80,SL_83
17.14,"71, 85, 366 ",n-C26,Long_Saturated_Alkane,0.225630355,0.171272301,0.556301683,0.157658086,0.201261288,0.146318606,0.115637647,0.209546091,0.176398042,0.175228876,0.201855247,0.103256646,0.136158411,0.212339647,0.189036974,0.249037049,0.203750044,0.130574456,0.153107601,0.181142317,0,0.248907328,0,0.092830645,0.040350381,0,0
17.69,"70, 98, 352 ",? ,Unknown,0.080456118,0,0,0,0,0,0.114571917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.76,"71, 85, 380 ",n-C27 ,Long_Saturated_Alkane,0.420502394,0.383010759,1.222581806,0.352860637,0.484670871,0.301627109,0.250844636,0.419241627,0.281793148,0.403052117,0.51004656,0.357501593,0.288025322,0.471771971,0.612547338,0.602794823,0.592209037,0.436257498,0.39341462,0.667971213,0.377844123,0.415029882,0.20046179,0.171808356,0.041831232,0,0
18.16,"71, 85, 253 ",? ,Unknown,0.141012106,0,0,0,0,0,0.164963112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.18,,,Unknown,0,0,0.184292556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.28,,,Unknown,0,0,0.348624241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.38,,,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.44,"72, 83, 337",Erucyl Amide,Amide,1.047772238,1.372725475,0.496898315,0.535568239,0.172872839,0.723234637,0.148000675,0.92710259,1.169823802,0.850705872,0.876050309,0.199959568,0.649596692,0.544509949,0.131583966,0.854558571,0.620193842,0.108209871,0.644905013,0.878257523,1.242576404,0.903887805,0,0,0,1.409815304,0
18.74,"72, 83, 337",Nitrogen Compound ,Nitrogen,0,0,0,0,0,0,0,0,0.185095307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.11,"71, 85, 408 ",n-C29 ,Long_Saturated_Alkane ,0.456902703,0.334324636,1.4303346,0.298660858,0.420424983,0.273745127,0.25427512,0.307098896,0.282137449,0.357385025,0.468457014,0.271711939,0.215240342,0.385643558,0.507145261,0.456154691,0.464098765,0.336641908,0.314060967,0.555522934,0.39054562,0.296070258,0.163539558,0.126103969,0,0,0
19.28,,,Unknown,0,0,0.450026063,0,0.104085037,0,0,0,0.079498748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.82,,,Unknown,0,0,0.369302467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.99,,,Unknown,0,0,0.337517287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.7,"71, 85, 436 ",n-C31,Long_Saturated_Alkane,0.459133519,0.340681667,0,0.31187165,0.493954591,0.289255362,0.31170545,0.394262379,0.2884976,0.397762672,0.506901947,0.313941833,0.23010712,0.382318309,0.424748448,0.513786793,0.582621832,0.399536283,0.477809493,0.75444992,0.516132969,0.461167372,0.21199589,0.201597399,0,0,0
21.62,,,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08309142,0,0,0,0,0,0,0,0,0
22.7,"71, 85, 450 ",n-C32,Long_Saturated_Alkane ,0.46573776,0.250090386,1.667274421,0.359661756,0,0.301390376,0,0.504852772,0.353155821,0.400372077,0.391416909,0.159477419,0.133996838,0.22493183,0,0.153735666,0,0,0,0.217045602,0,0,0,0,0,0,0
22.71,,,Unknown,0,0,1.289824845,0,0.529694049,0,0.30027838,0,0,0,0,0,0,0,0.237921089,0,0,0.192051042,0,0,0,0,0,0,0,0,0
23.95,,,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.56,"191, 410 ",Hopene ,PAH ,0.218369378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.44,,,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
