RT,Compound,Category,SL_2,SL_5,SL_8,SL_11,SL_14,SL_17,SL_23,SL_26,SL_29,SL_32,SL_35,SL_38,SL_41,SL_44,SL_47,SL_50,SL_53,SL_56,SL_59,SL_62,SL_65,SL_68,SL_71,SL_74,SL_77,SL_80,SL_83
9.17,n-C12 FAME ,Saturated ,1.74546948,0.846295887,0.740056671,1.784109386,0.504897693,1.432661217,0.516460703,1.314591214,1.046608457,1.804241802,1.348984723,0.72462978,0.613877962,0.725511217,0.490632456,0.918338506,0.959084904,0,0.638326414,0.839595415,0.391230327,0.34590639,0.319278388,0,0,0,0
9.39,C9 Dimethyl Ester,Diacid,0.460901399,0.306182279,0.50290278,0.464518966,0,0.510915484,0,0.290831528,0,0.278267982,0.230530089,0,0,0,0,0,0,0,0,0,0.227673728,0.228878907,0.192354109,0,0,0,0
10.04,n-C13 FAME,Short_Saturated ,0,0,0.160990433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112408591,0,0,0,0,0,0
10.26,C10 Dimethyl Ester ,Diacid,0,0,0.159881431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128112844,0,0,0,0,0,0
10.65,i-C14 FAME ,Branched ,0.488913905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.96,n-C14 FAME,Short_Saturated ,1.301197857,0.757329763,1.142130133,1.371672257,0.643385342,1.584981333,1.315742279,0.819469061,0.817793126,0.96053769,0.605712699,0.524775779,0.451834161,0.488529552,0.551734941,0.634642855,0.582693841,0.374946973,0.498256646,0.580673754,0.413256415,0.287821458,0.359010919,0.204717631,0.233931264,0.144188518,0
11.13,C11 Dimethyl Ester ,Diacid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08422761,0,0,0,0,0,0
11.39,iso-C16 FAME,Isoprenoid,0.482072762,0.211002047,0.576098714,0.433616082,0.312740065,0.571276489,0.443651346,0.331967143,0.30415762,0.315447835,0.243292058,0.169960206,0.189732487,0.238979639,0.33864697,0.199699517,0.319477631,0.217238137,0.180524096,0.26468281,0.223884674,0.188618719,0.19030203,0,0.119482407,0,0
11.5,n-C15 FAME,Short_Saturated ,1.651705398,0.560546072,1.137543142,1.0398924,0.721099519,1.680039096,2.081261661,0.718128703,0.561569426,0.473897764,0.329689022,0.247792204,0.199694444,0.218461701,0.389598255,0.221779765,0.317015761,0.23219816,0.144115006,0.270220911,0.245760683,0.146833342,0.174093281,0,0.092070759,0,0
11.57,a-C15 FAME,Branched ,1.167370926,0.50240351,0.828473074,0.741443926,0.458751631,1.016800361,1.212706389,0.557524179,0.382037437,0.34847703,0.189611046,0.208492932,0.062163518,0.214230074,0.261900565,0.276237783,0.285623073,0.154336264,0.195394342,0.313827567,0.215019941,0.168548514,0.148278662,0,0.126778114,0,0
11.65,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168568201,0.096098062,0,0,0,0,0
11.8,n-C15 FAME,Short_Saturated ,1.225274641,0.407198039,0.828936806,0.912666279,0,1.131894302,0,0.59903056,0.518549245,0.739962659,0.555504775,0.307794018,0.305421922,0.379311014,0,0.329497246,0.423174286,0,0.295910892,0.526388028,0.523521754,0.35969697,0.356919734,0.285307858,0.306659068,0.192899165,0
12,C12 Dimethyl Ester ,Diacid,0.981076559,0.231777034,0.378863505,0.703719381,0.348797799,0.647362844,0.498258785,0.347346165,0.396130828,0.434036666,0.431027975,0.217474332,0.164684957,0.171551495,0.331614695,0.206548886,0.265830023,0.237906669,0.216933185,0.346383408,0.477233582,0.361370685,0.3461386,0,0,0,0
12.16,br-C17 FAME,Branched ,0.919268593,0.2562639,0.590535512,0.441327308,0.325269148,0.640950702,0.55059835,0.49814488,0.457492391,0.405390714,0.264490906,0.239054175,0.170688959,0.163235979,0.327631193,0.205266515,0.234577738,0.304634265,0.168805779,0.211680966,0.234949992,0.14562437,0.21425393,0,0,0,0
12.32,a-C16 FAME,Branched ,0.584131295,0.317384619,0.321015657,0.671786125,0.33476964,0.974943456,0.662340383,0.489814332,0,0.343947064,0,0.171506411,0,0.264116137,0,0.341984019,0.398030516,0,0.306338009,0.590252095,0.122234499,0,0,0,0,0,0
12.48,C16:1 FAME,MUFA,2.544296711,0.648028526,0,1.661889349,0.442939038,3.934102069,1.601987691,0.767054326,0.482824136,0.731530922,0.287785416,0.336880463,0,0.237129402,0,0.214891841,0.248487303,0,0,0,0.231081684,0,0,0,0,0,0
12.61,n-C16 FAME,Short_Saturated ,12.89125412,5.384947318,8.127410616,8.819298776,5.484702142,13.79703264,12.01982225,6.946638396,5.865352652,5.186680289,4.247078475,3.239331403,3.63630885,3.991875248,4.452940977,5.373459369,5.69210487,3.495889226,5.080609836,6.17923018,4.530532818,3.799679244,4.744124762,2.133574781,2.639767519,1.530591293,1.940880902
12.81,C13 Dimethyl Ester,Diacid,0.216409628,0,0,0.329222148,0,0,0,0,0,0,0.23480095,0,0,0,0,0.149363525,0,0,0,0,0.292765521,0.10321135,0.226088889,0,0,0,0
12.98,br-C17 FAME,Branched ,0.51047433,0,0.366520689,0.70655042,0.680919324,0,0.707413323,0.520125504,0.322012493,0,0,0,0,0,1.007753968,0,0,1.174497127,0,0,0,0,0,0,0,0,0
13.07,iso-C20 FAME,Isoprenoid ,0,0,0.521017079,0,0.39123612,0,0.556368211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224478242,0,0,0,0,0,0
13.13,br-C17 FAME,Branched ,0.559894362,0.283644194,0.288913911,0,0.283281691,0,0.370698879,0.284754854,0.214837165,0,0,0.162513353,0,0,0,0.169583078,0,0,0,0,0.171085805,0,0,0,0,0,0
13.21,n-C17 FAME,Short_Saturated ,0.289859194,0.213890066,0.661774066,0,0.442223743,0,0.515780509,0.227945555,0.174395481,0,0,0,0,0,0.608613131,0.185747656,0,0,0,0,0.366047538,0.282667758,0.285590948,0,0,0,0
13.41,n-C17 FAME ,Short_Saturated ,0.767294996,0.287788735,0,0.803027716,0,0,0,0.469424103,0.42739286,0.580972568,0.513605989,0.25078989,0.224488816,0.320629287,0,0.393007295,0.35642876,0,0.278462148,0.407763126,0,0,0,0,0,0,0
13.53,Unknown,Unknown,0,0,0,0,0,0,0,0.289065507,0.193948013,0,0,0,0,0,0,0,0,0,0,0,0.192818481,0,0,0,0,0,0
13.74,Unknown,Unknown,0,0.351756009,0,0.6624432,0,0,0,0.481128629,0.35330269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.83,iso-C20 FAME,Isoprenoid ,0,0,0.448603019,0,0.313544772,0,0.212407346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23887732,0.182067594,0.270361928,0,0,0,0
13.97,C18:1 FAME,MUFA,8.901803366,3.488382451,0.69875578,5.094105613,1.353198032,10.68849418,5.287685067,2.325311612,1.66070291,1.181684401,1.129023328,1.000740426,0.973817652,0.212043909,1.317528606,0.247160651,1.17928186,0.905978654,0,0.928145198,0.896127205,0.744488483,0.696338135,0,0,0,0
14.12,n-C18 FAME,Short_Saturated ,3.716888948,2.331691238,2.364322307,3.097510945,2.632889956,3.297689576,2.990187444,2.905524776,2.543055754,2.325895501,1.936006379,1.376474224,2.00930762,2.13512667,2.903445899,3.214268585,3.235018268,2.604537748,2.917761287,3.255555036,2.186971947,1.854319529,2.634037954,1.130953819,1.197735457,0.946595743,1.224142817
14.56,C18:2 FAME,PUFA,0.582261675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.77,C19:1 FAME,MUFA,0,0,0,0,0,0,0.926095625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.82,n-C19 FAME,Short_Saturated ,0,0,0.714876752,0.640535366,0.277095147,0,0,0.326963741,0.363626919,0,0,0.350397011,0.182519373,0,0.392565499,0.49283107,0.351272297,0,0,0,0.638370381,0.368016035,0.267435091,0,0,0,0
14.87,Unknown,Unknown,0.3568809,0,0,0,0,0,0,0.246511221,0.371359849,0.533238371,0.542241486,0,0,0.329674697,0,0,0,0,0,0.349946724,0.445224763,0.359529279,0.276602554,0,0,0,0
14.93,Unknown,Unknown,0,0,0,0,0,0,0,0.148700954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.02,C16 Dimethyl Ester ,Diacid,0.46897634,0,0,0.591017864,0,0,0,0.228763194,0,0.46864722,0.397780575,0.253225055,0.177382532,0.252501147,0,0.347180554,0.237128082,0,0,0,0,0,0,0,0,0,0
15.36,C20:1 FAME,MUFA,0.858871547,0,0,1.595039396,0,0,0,0.687376513,0,0.568716226,0,0,0.521273138,0,0,0.564605287,0,0,0,0,0,0,0,0,0,0,0
15.5,n-C20 FAME ,Short_Saturated ,2.784405852,1.167918791,2.086146124,2.468399127,1.680907935,2.358916933,1.94582565,2.040970457,2.152425035,1.843323633,1.806448894,1.331972357,1.007351643,1.50005197,1.874136274,1.812197975,1.745394622,1.706172444,1.437604137,1.882312582,1.980091642,1.507191391,1.600716332,1.209379096,0.945540581,0.638258269,0.739369131
16.15,n-C21 FAME ,Short_Saturated ,0.931729193,0.553962398,0,1.115146017,0,0,0,0.687852656,0.889947503,0.93584459,0,0.445263503,0.440704654,0.663902878,0,0.737832645,0.673577232,0,0,0.645857971,0.653457458,0.52306144,0.582201787,0,0,0,0
16.66,C22:1 FAME,MUFA,4.141978423,1.828397166,0,12.53523019,0,3.105206152,0,2.510624825,1.97970929,2.059125244,1.53322345,0,2.217326051,1.634519569,0,2.455778872,1.22684211,0,0,1.549908619,1.286249651,0.801956951,0.894214539,0,0,0,2.46667717
16.78,n-C22 FAME,Short_Saturated ,7.318821256,3.55931378,5.610099946,6.87759048,5.033442088,5.989468632,4.742075366,6.059986368,6.454356054,6.744143246,6.394262303,4.689427458,4.164755428,5.767985478,7.821328493,5.876510851,6.682449752,6.41176227,4.789415137,7.043469603,7.37631951,4.78347062,4.815797276,0,0,0,0
17.41,n-C23 FAME,Short_Saturated ,1.52926271,1.120983978,1.225882257,1.970200904,1.117116323,1.586240553,0.850954416,1.827736543,1.987874956,1.595619884,1.643825977,1.280335501,0.887623015,1.029403944,1.176240368,1.032506396,0.885348053,0.976319434,0.670091477,1.118959453,1.171490396,0.599792002,1.118187543,0,0.420369428,0,0
18.05,n-C24 FAME,Long_Saturated ,10.18764915,5.81692427,8.057281064,11.57527943,7.432162227,8.842565814,5.944189926,9.40449333,9.997929957,9.241867729,8.930959745,6.221497185,4.440599425,5.393829451,0.957551604,5.144640812,6.198605759,5.237626061,4.066497615,6.456904135,6.005946798,4.190105171,4.140500669,3.18507127,2.468486814,1.146192068,0.983228555
18.71,n-C25 FAME,Long_Saturated ,1.259021657,2.179913408,1.3204476,1.197744762,2.042297596,1.171055566,1.628377189,2.18966946,2.800267835,0.928549692,1.868799368,0,2.014771299,1.237367481,2.375082986,1.167762165,1.22140484,2.10504623,0,0,1.063238466,0.736768314,0.749700423,0,0,0,0
18.86,Unknown,Unknown,1.555909712,1.26670454,0,1.873980373,0,1.660448271,0,2.247944263,2.477858453,2.119674421,1.733305578,1.278206371,1.043647701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.45,n-C26 FAME,Long_Saturated ,6.497098373,3.817463366,5.23766398,7.169757329,5.085938299,5.729986248,4.176554844,6.641323541,5.891201633,6.337693946,5.561431142,4.466185094,3.706911598,4.672783779,6.702089555,4.265987077,5.446027506,4.197243803,3.417537335,5.456861541,5.479062617,3.779059652,3.734259,2.554066524,1.821873394,1.059919265,0.97332366
20.11,n-C27 FAME ,Long_Saturated ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.39,Unknown,Unknown,0.750076327,0.686409251,0,0.988743199,0,0.970177866,0,1.783076691,1.038189294,0.893104442,0.993447592,1.031313327,0.747717316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.14,n-C28 FAME ,Long_Saturated ,3.529833108,2.148219114,2.862082696,3.843849968,2.476556068,3.058409594,1.99132792,3.50960362,3.711985326,3.360327728,3.457334325,2.764455366,2.241574432,2.37713493,3.282140241,2.131644115,2.77737588,1.974245785,1.785414609,2.614930517,2.695258232,1.89088413,2.001507745,1.25772465,1.086703166,0.557219008,0.725962448
22,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.32,n-C29,Long_Saturated ,0,0.608555329,0,0.62299916,0,0.511409449,0,0,1.255763711,0.539281225,0.504936527,0.52480784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.34,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.51,Unknown,Unknown,0.848719587,0.669028857,0,1.189271525,0,0.828891213,0,0,1.554582538,0.845938664,0.591128624,0.513745402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.34,n-C30 FAME,Long_Saturated ,1.618836422,1.245902511,1.521788093,1.870655683,1.18341431,1.465336637,1.011667034,2.322850891,1.379111616,1.439388203,1.489321794,1.324155347,1.023903265,1.013940742,1.455024838,1.016410546,1.219789237,1.082916363,0,1.237618809,1.246067471,0.781471512,0.877557091,0,0.496696393,0,0
23.95,Isoprenoid,Isoprenoid,1.246607987,0.611028713,0,1.276858133,0,1.129490337,0,0,0.977467875,0.891961081,0.876924427,0.536007266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.62,Hopane,PAH,0,0,0,0,0,0,0,0,1.54153642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.69,n-C17,Short_Saturated_Alkane,0.051221764,0,0,0,0,0,0,0,0,0,0,0,0.046334992,0,0.044688373,0.033675838,0,0.029790912,0.078696948,0,0,0,0,0,0,0,0
11.07,br-C18 ,Branched_Alkane,0.070055399,0,0,0.041767462,0,0,0.041729615,0,0,0.038832563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.39,,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.48,,Unknown,0.046180376,0,0,0,0,0.026078358,0.046127238,0.029875704,0.018418498,0.034298726,0.025182819,0.019830975,0.055792306,0,0.057539473,0.071160703,0,0.036910022,0.050511814,0,0,0,0,0,0,0,0
11.53,n-C18 ,Short_Saturated_Alkane ,0.113976493,0.127369657,0.230165634,0.071226866,0.123538196,0.070063158,0.119624389,0.132959336,0.076380462,0.103016499,0,0.085670855,0.171599122,0.067507239,0.215747844,0.209523605,0.082167061,0.164109115,0.257631869,0,0,0,0,0,0,0,0
11.63,iso-C19 ,Isoprenoid_Alkane,0.074015058,0,0,0.028016073,0,0.024921206,0.053410533,0,0.016740795,0,0.073824169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.83,C20:1 ,Alkene,0.162631856,0.048712835,0,0.073538604,0,0.048321285,0.086216552,0.055891102,0.075109938,0.079459864,0.039237184,0,0.058689521,0.058872312,0.070406311,0.078255881,0,0.054216385,0.072914996,0,0,0,0,0,0,0,0
11.88,C20:2,Dialkene,0.189303819,0.043889782,0,0.061877937,0.07841189,0.064585561,0.100850011,0.049080168,0.024201479,0.027386104,0.032315809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.93,C20:1 ,Alkene,0.214307882,0.070491764,0,0.092786894,0,0.094567995,0.118602511,0.061602157,0.079524645,0.086932793,0.030101235,0,0.049503082,0.025922874,0.077527925,0.070025497,0,0.030168319,0.05917765,0,0,0,0,0,0,0,0
12.08,iso-C20:2,Isoprenoid_Alkane,0.15323709,0.057374049,0,0.041273236,0,0.041742138,0.062052742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.18,Cyclo compound? ,PAH ,0.039523612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04363347,0,0,0,0,0,0,0,0
12.23,iso-C20:2,Isoprenoid_Alkane,0.24790203,0.102710253,0,0.088719271,0.100901622,0.084111503,0.1161176,0.073107202,0.029803314,0.041343701,0.034625739,0.085525353,0,0,0,0.051484193,0,0,0,0,0,0,0,0,0,0,0
12.34,n-C19 ,Short_Saturated_Alkane,0.09835156,0.081798484,0.194749972,0.062053585,0.069032681,0.056189744,0.076975666,0.083508704,0.085496974,0.117056369,0.096663914,0,0.195362352,0.151278729,0.228327802,0.168208937,0.060486323,0.12147815,0.218479808,0,0,0,0,0,0,0,0
12.42,isoprenoid? ,Isoprenoid_Alkane,0.142439844,0.034320351,0,0.039596443,0.060195004,0.036690747,0.041850338,0,0.032012832,0.028060879,0,0,0.024759846,0,0.042677073,0,0,0,0.076458177,0,0,0,0,0,0,0,0
12.7,? ,Unknown,0.076831643,0.039750861,0,0.070108334,0,0.043912305,0.052079443,0.056544646,0.044243677,0.036692795,0.042268647,0.05037625,0.048731663,0,0.062431704,0.073591554,0,0.045714362,0.041345274,0,0,0,0,0,0,0,0
12.83,isoprenoid? ,Isoprenoid_Alkane,0.05656225,0.075205,0,0.052782143,0.064616389,0.044039119,0.07692271,0.051833268,0.05254287,0.056923359,0.027539661,0,0.059931458,0,0.068964721,0.076592606,0,0.033317419,0.106881222,0,0,0,0,0,0,0,0
13.03,isoprenioid? ,Isoprenoid_Alkane,0.038601857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.07,?? ,Unknown,0.033969826,0.047585478,0,0.030144936,0,0.04096051,0,0.035453329,0.028735809,0.035647625,0.032419833,0.041072778,0.041282914,0,0.049913348,0.052512053,0,0.0575098,0.058722073,0,0,0,0,0,0,0,0
